2024-12-09 20:01:47:328:    case:==========================供低电模式（2.2v），蓝牙模式，快速上下电==========================
2024-12-09 20:01:58:116:    2024-12-09 20:01:58:115:    循环9元素：断电
2024-12-09 20:01:58:117:    2024-12-09 20:01:58:115:    循环9元素：延时50
2024-12-09 20:01:58:117:    2024-12-09 20:01:58:115:    msleep: 50
2024-12-09 20:01:58:166:    2024-12-09 20:01:58:166:    循环9元素：上电
2024-12-09 20:01:58:167:    2024-12-09 20:01:58:166:    循环9元素：延时50
2024-12-09 20:01:58:167:    2024-12-09 20:01:58:166:    msleep: 50
2024-12-09 20:01:58:217:    2024-12-09 20:01:58:216:    循环10元素：断电
2024-12-09 20:01:58:217:    2024-12-09 20:01:58:216:    循环10元素：延时50
2024-12-09 20:01:58:217:    2024-12-09 20:01:58:216:    msleep: 50
2024-12-09 20:01:58:267:    2024-12-09 20:01:58:266:    循环10元素：上电
2024-12-09 20:01:58:267:    2024-12-09 20:01:58:266:    循环10元素：延时50
2024-12-09 20:01:58:267:    2024-12-09 20:01:58:266:    msleep: 50
2024-12-09 20:01:58:317:    2024-12-09 20:01:58:317:    循环11元素：断电
2024-12-09 20:01:58:318:    2024-12-09 20:01:58:317:    循环11元素：延时50
2024-12-09 20:01:58:318:    2024-12-09 20:01:58:317:    msleep: 50
2024-12-09 20:01:58:368:    2024-12-09 20:01:58:367:    循环11元素：上电
2024-12-09 20:01:58:368:    2024-12-09 20:01:58:367:    循环11元素：延时50
2024-12-09 20:01:58:368:    2024-12-09 20:01:58:367:    msleep: 50
2024-12-09 20:01:58:418:    2024-12-09 20:01:58:417:    循环12元素：断电
2024-12-09 20:01:58:418:    2024-12-09 20:01:58:417:    循环12元素：延时50
2024-12-09 20:01:58:418:    2024-12-09 20:01:58:417:    msleep: 50
2024-12-09 20:01:58:468:    2024-12-09 20:01:58:467:    循环12元素：上电
2024-12-09 20:01:58:469:    2024-12-09 20:01:58:467:    循环12元素：延时50
2024-12-09 20:01:58:469:    2024-12-09 20:01:58:467:    msleep: 50
2024-12-09 20:01:58:518:    2024-12-09 20:01:58:518:    循环13元素：断电
2024-12-09 20:01:58:519:    2024-12-09 20:01:58:518:    循环13元素：延时50
2024-12-09 20:01:58:519:    2024-12-09 20:01:58:518:    msleep: 50
2024-12-09 20:01:58:569:    2024-12-09 20:01:58:568:    循环13元素：上电
2024-12-09 20:01:58:569:    2024-12-09 20:01:58:568:    循环13元素：延时50
2024-12-09 20:01:58:569:    2024-12-09 20:01:58:568:    msleep: 50
2024-12-09 20:01:58:621:    2024-12-09 20:01:58:620:    循环14元素：断电
2024-12-09 20:01:58:621:    2024-12-09 20:01:58:620:    循环14元素：延时50
2024-12-09 20:01:58:621:    2024-12-09 20:01:58:620:    msleep: 50
2024-12-09 20:01:58:673:    2024-12-09 20:01:58:672:    循环14元素：上电
2024-12-09 20:01:58:673:    2024-12-09 20:01:58:672:    循环14元素：延时50
2024-12-09 20:01:58:673:    2024-12-09 20:01:58:672:    msleep: 50
2024-12-09 20:01:58:723:    2024-12-09 20:01:58:722:    循环15元素：断电
2024-12-09 20:01:58:723:    2024-12-09 20:01:58:722:    循环15元素：延时50
2024-12-09 20:01:58:723:    2024-12-09 20:01:58:722:    msleep: 50
2024-12-09 20:01:58:773:    2024-12-09 20:01:58:773:    循环15元素：上电
2024-12-09 20:01:58:774:    2024-12-09 20:01:58:773:    循环15元素：延时50
2024-12-09 20:01:58:774:    2024-12-09 20:01:58:773:    msleep: 50
2024-12-09 20:01:58:824:    2024-12-09 20:01:58:823:    循环16元素：断电
2024-12-09 20:01:58:824:    2024-12-09 20:01:58:823:    循环16元素：延时50
2024-12-09 20:01:58:824:    2024-12-09 20:01:58:823:    msleep: 50
2024-12-09 20:01:58:874:    2024-12-09 20:01:58:873:    循环16元素：上电
2024-12-09 20:01:58:874:    2024-12-09 20:01:58:873:    循环16元素：延时50
2024-12-09 20:01:58:874:    2024-12-09 20:01:58:873:    msleep: 50
2024-12-09 20:01:58:924:    2024-12-09 20:01:58:924:    循环17元素：断电
2024-12-09 20:01:58:925:    2024-12-09 20:01:58:924:    循环17元素：延时50
2024-12-09 20:01:58:925:    2024-12-09 20:01:58:924:    msleep: 50
2024-12-09 20:01:58:974:    2024-12-09 20:01:58:974:    循环17元素：上电
2024-12-09 20:01:58:975:    2024-12-09 20:01:58:974:    循环17元素：延时50
2024-12-09 20:01:58:975:    2024-12-09 20:01:58:974:    msleep: 50
2024-12-09 20:01:59:025:    2024-12-09 20:01:59:024:    循环18元素：断电
2024-12-09 20:01:59:025:    2024-12-09 20:01:59:024:    循环18元素：延时50
2024-12-09 20:01:59:025:    2024-12-09 20:01:59:024:    msleep: 50
2024-12-09 20:01:59:075:    2024-12-09 20:01:59:074:    循环18元素：上电
2024-12-09 20:01:59:075:    2024-12-09 20:01:59:075:    循环18元素：延时50
2024-12-09 20:01:59:076:    2024-12-09 20:01:59:075:    msleep: 50
2024-12-09 20:01:59:125:    2024-12-09 20:01:59:125:    循环19元素：断电
2024-12-09 20:01:59:126:    2024-12-09 20:01:59:125:    循环19元素：延时50
2024-12-09 20:01:59:126:    2024-12-09 20:01:59:125:    msleep: 50
2024-12-09 20:01:59:176:    2024-12-09 20:01:59:175:    循环19元素：上电
2024-12-09 20:01:59:176:    2024-12-09 20:01:59:175:    循环19元素：延时50
2024-12-09 20:01:59:176:    2024-12-09 20:01:59:175:    msleep: 50
2024-12-09 20:01:59:226:    2024-12-09 20:01:59:225:    循环20元素：断电
2024-12-09 20:01:59:226:    2024-12-09 20:01:59:226:    循环20元素：延时50
2024-12-09 20:01:59:226:    2024-12-09 20:01:59:226:    msleep: 50
2024-12-09 20:01:59:276:    2024-12-09 20:01:59:276:    循环20元素：上电
2024-12-09 20:01:59:277:    2024-12-09 20:01:59:276:    循环20元素：延时50
2024-12-09 20:01:59:277:    2024-12-09 20:01:59:276:    msleep: 50
2024-12-09 20:01:59:327:    2024-12-09 20:01:59:326:    循环21元素：断电
2024-12-09 20:01:59:327:    2024-12-09 20:01:59:326:    循环21元素：延时50
2024-12-09 20:01:59:327:    2024-12-09 20:01:59:326:    msleep: 50
2024-12-09 20:01:59:377:    2024-12-09 20:01:59:376:    循环21元素：上电
2024-12-09 20:01:59:377:    2024-12-09 20:01:59:376:    循环21元素：延时50
2024-12-09 20:01:59:377:    2024-12-09 20:01:59:377:    msleep: 50
2024-12-09 20:01:59:427:    2024-12-09 20:01:59:427:    循环22元素：断电
2024-12-09 20:01:59:428:    2024-12-09 20:01:59:427:    循环22元素：延时50
2024-12-09 20:01:59:428:    2024-12-09 20:01:59:427:    msleep: 50
2024-12-09 20:01:59:478:    2024-12-09 20:01:59:477:    循环22元素：上电
2024-12-09 20:01:59:478:    2024-12-09 20:01:59:477:    循环22元素：延时50
2024-12-09 20:01:59:478:    2024-12-09 20:01:59:477:    msleep: 50
2024-12-09 20:01:59:528:    2024-12-09 20:01:59:527:    循环23元素：断电
2024-12-09 20:01:59:528:    2024-12-09 20:01:59:527:    循环23元素：延时50
2024-12-09 20:01:59:528:    2024-12-09 20:01:59:528:    msleep: 50
2024-12-09 20:01:59:578:    2024-12-09 20:01:59:578:    循环23元素：上电
2024-12-09 20:01:59:579:    2024-12-09 20:01:59:578:    循环23元素：延时50
2024-12-09 20:01:59:579:    2024-12-09 20:01:59:578:    msleep: 50
2024-12-09 20:01:59:629:    2024-12-09 20:01:59:628:    循环24元素：断电
2024-12-09 20:01:59:629:    2024-12-09 20:01:59:628:    循环24元素：延时50
2024-12-09 20:01:59:629:    2024-12-09 20:01:59:628:    msleep: 50
2024-12-09 20:01:59:679:    2024-12-09 20:01:59:678:    循环24元素：上电
2024-12-09 20:01:59:679:    2024-12-09 20:01:59:678:    循环24元素：延时50
2024-12-09 20:01:59:679:    2024-12-09 20:01:59:678:    msleep: 50
2024-12-09 20:01:59:729:    2024-12-09 20:01:59:729:    循环25元素：断电
2024-12-09 20:01:59:730:    2024-12-09 20:01:59:729:    循环25元素：延时50
2024-12-09 20:01:59:730:    2024-12-09 20:01:59:729:    msleep: 50
2024-12-09 20:01:59:780:    2024-12-09 20:01:59:779:    循环25元素：上电
2024-12-09 20:01:59:780:    2024-12-09 20:01:59:779:    循环25元素：延时50
2024-12-09 20:01:59:780:    2024-12-09 20:01:59:779:    msleep: 50
2024-12-09 20:01:59:830:    2024-12-09 20:01:59:829:    循环26元素：断电
2024-12-09 20:01:59:830:    2024-12-09 20:01:59:829:    循环26元素：延时50
2024-12-09 20:01:59:830:    2024-12-09 20:01:59:829:    msleep: 50
2024-12-09 20:01:59:880:    2024-12-09 20:01:59:880:    循环26元素：上电
2024-12-09 20:01:59:881:    2024-12-09 20:01:59:880:    循环26元素：延时50
2024-12-09 20:01:59:881:    2024-12-09 20:01:59:880:    msleep: 50
2024-12-09 20:01:59:931:    2024-12-09 20:01:59:930:    循环27元素：断电
2024-12-09 20:01:59:931:    2024-12-09 20:01:59:930:    循环27元素：延时50
2024-12-09 20:01:59:931:    2024-12-09 20:01:59:930:    msleep: 50
2024-12-09 20:01:59:981:    2024-12-09 20:01:59:980:    循环27元素：上电
2024-12-09 20:01:59:981:    2024-12-09 20:01:59:980:    循环27元素：延时50
2024-12-09 20:01:59:981:    2024-12-09 20:01:59:980:    msleep: 50
2024-12-09 20:02:00:031:    2024-12-09 20:02:00:031:    循环28元素：断电
2024-12-09 20:02:00:032:    2024-12-09 20:02:00:031:    循环28元素：延时50
2024-12-09 20:02:00:032:    2024-12-09 20:02:00:031:    msleep: 50
2024-12-09 20:02:00:082:    2024-12-09 20:02:00:081:    循环28元素：上电
2024-12-09 20:02:00:082:    2024-12-09 20:02:00:081:    循环28元素：延时50
2024-12-09 20:02:00:082:    2024-12-09 20:02:00:081:    msleep: 50
2024-12-09 20:02:00:132:    2024-12-09 20:02:00:131:    循环29元素：断电
2024-12-09 20:02:00:132:    2024-12-09 20:02:00:131:    循环29元素：延时50
2024-12-09 20:02:00:132:    2024-12-09 20:02:00:131:    msleep: 50
2024-12-09 20:02:00:182:    2024-12-09 20:02:00:182:    循环29元素：上电
2024-12-09 20:02:00:183:    2024-12-09 20:02:00:182:    循环29元素：延时50
2024-12-09 20:02:00:183:    2024-12-09 20:02:00:182:    msleep: 50
2024-12-09 20:02:00:233:    2024-12-09 20:02:00:232:    循环30元素：断电
2024-12-09 20:02:00:233:    2024-12-09 20:02:00:232:    循环30元素：延时50
2024-12-09 20:02:00:233:    2024-12-09 20:02:00:232:    msleep: 50
2024-12-09 20:02:00:283:    2024-12-09 20:02:00:282:    循环30元素：上电
2024-12-09 20:02:00:283:    2024-12-09 20:02:00:282:    循环30元素：延时50
2024-12-09 20:02:00:283:    2024-12-09 20:02:00:282:    msleep: 50
2024-12-09 20:02:00:333:    2024-12-09 20:02:00:333:    循环31元素：断电
2024-12-09 20:02:00:334:    2024-12-09 20:02:00:333:    循环31元素：延时50
2024-12-09 20:02:00:334:    2024-12-09 20:02:00:333:    msleep: 50
2024-12-09 20:02:00:384:    2024-12-09 20:02:00:383:    循环31元素：上电
2024-12-09 20:02:00:384:    2024-12-09 20:02:00:383:    循环31元素：延时50
2024-12-09 20:02:00:384:    2024-12-09 20:02:00:383:    msleep: 50
2024-12-09 20:02:00:434:    2024-12-09 20:02:00:433:    循环32元素：断电
2024-12-09 20:02:00:434:    2024-12-09 20:02:00:433:    循环32元素：延时50
2024-12-09 20:02:00:434:    2024-12-09 20:02:00:433:    msleep: 50
2024-12-09 20:02:00:484:    2024-12-09 20:02:00:484:    循环32元素：上电
2024-12-09 20:02:00:485:    2024-12-09 20:02:00:484:    循环32元素：延时50
2024-12-09 20:02:00:485:    2024-12-09 20:02:00:484:    msleep: 50
2024-12-09 20:02:00:535:    2024-12-09 20:02:00:534:    循环33元素：断电
2024-12-09 20:02:00:535:    2024-12-09 20:02:00:534:    循环33元素：延时50
2024-12-09 20:02:00:535:    2024-12-09 20:02:00:534:    msleep: 50
2024-12-09 20:02:00:585:    2024-12-09 20:02:00:584:    循环33元素：上电
2024-12-09 20:02:00:585:    2024-12-09 20:02:00:584:    循环33元素：延时50
2024-12-09 20:02:00:585:    2024-12-09 20:02:00:584:    msleep: 50
2024-12-09 20:02:00:635:    2024-12-09 20:02:00:635:    循环34元素：断电
2024-12-09 20:02:00:636:    2024-12-09 20:02:00:635:    循环34元素：延时50
2024-12-09 20:02:00:636:    2024-12-09 20:02:00:635:    msleep: 50
2024-12-09 20:02:00:685:    2024-12-09 20:02:00:685:    循环34元素：上电
2024-12-09 20:02:00:686:    2024-12-09 20:02:00:685:    循环34元素：延时50
2024-12-09 20:02:00:686:    2024-12-09 20:02:00:685:    msleep: 50
2024-12-09 20:02:00:736:    2024-12-09 20:02:00:735:    循环35元素：断电
2024-12-09 20:02:00:736:    2024-12-09 20:02:00:735:    循环35元素：延时50
2024-12-09 20:02:00:736:    2024-12-09 20:02:00:735:    msleep: 50
2024-12-09 20:02:00:786:    2024-12-09 20:02:00:785:    循环35元素：上电
2024-12-09 20:02:00:787:    2024-12-09 20:02:00:786:    循环35元素：延时50
2024-12-09 20:02:00:787:    2024-12-09 20:02:00:786:    msleep: 50
2024-12-09 20:02:00:836:    2024-12-09 20:02:00:836:    循环36元素：断电
2024-12-09 20:02:00:837:    2024-12-09 20:02:00:836:    循环36元素：延时50
2024-12-09 20:02:00:837:    2024-12-09 20:02:00:836:    msleep: 50
2024-12-09 20:02:00:887:    2024-12-09 20:02:00:886:    循环36元素：上电
2024-12-09 20:02:00:887:    2024-12-09 20:02:00:886:    循环36元素：延时50
2024-12-09 20:02:00:887:    2024-12-09 20:02:00:886:    msleep: 50
2024-12-09 20:02:00:937:    2024-12-09 20:02:00:936:    循环37元素：断电
2024-12-09 20:02:00:937:    2024-12-09 20:02:00:937:    循环37元素：延时50
2024-12-09 20:02:00:937:    2024-12-09 20:02:00:937:    msleep: 50
2024-12-09 20:02:00:987:    2024-12-09 20:02:00:987:    循环37元素：上电
2024-12-09 20:02:00:988:    2024-12-09 20:02:00:987:    循环37元素：延时50
2024-12-09 20:02:00:988:    2024-12-09 20:02:00:987:    msleep: 50
2024-12-09 20:02:01:038:    2024-12-09 20:02:01:037:    循环38元素：断电
2024-12-09 20:02:01:038:    2024-12-09 20:02:01:037:    循环38元素：延时50
2024-12-09 20:02:01:038:    2024-12-09 20:02:01:037:    msleep: 50
2024-12-09 20:02:01:088:    2024-12-09 20:02:01:087:    循环38元素：上电
2024-12-09 20:02:01:088:    2024-12-09 20:02:01:087:    循环38元素：延时50
2024-12-09 20:02:01:088:    2024-12-09 20:02:01:088:    msleep: 50
2024-12-09 20:02:01:138:    2024-12-09 20:02:01:138:    循环39元素：断电
2024-12-09 20:02:01:139:    2024-12-09 20:02:01:138:    循环39元素：延时50
2024-12-09 20:02:01:139:    2024-12-09 20:02:01:138:    msleep: 50
2024-12-09 20:02:01:189:    2024-12-09 20:02:01:188:    循环39元素：上电
2024-12-09 20:02:01:189:    2024-12-09 20:02:01:188:    循环39元素：延时50
2024-12-09 20:02:01:189:    2024-12-09 20:02:01:188:    msleep: 50
2024-12-09 20:02:01:239:    2024-12-09 20:02:01:238:    循环40元素：断电
2024-12-09 20:02:01:239:    2024-12-09 20:02:01:238:    循环40元素：延时50
2024-12-09 20:02:01:239:    2024-12-09 20:02:01:238:    msleep: 50
2024-12-09 20:02:01:289:    2024-12-09 20:02:01:289:    循环40元素：上电
2024-12-09 20:02:01:290:    2024-12-09 20:02:01:289:    循环40元素：延时50
2024-12-09 20:02:01:290:    2024-12-09 20:02:01:289:    msleep: 50
2024-12-09 20:02:01:340:    2024-12-09 20:02:01:339:    循环41元素：断电
2024-12-09 20:02:01:340:    2024-12-09 20:02:01:339:    循环41元素：延时50
2024-12-09 20:02:01:340:    2024-12-09 20:02:01:339:    msleep: 50
2024-12-09 20:02:01:390:    2024-12-09 20:02:01:389:    循环41元素：上电
2024-12-09 20:02:01:390:    2024-12-09 20:02:01:389:    循环41元素：延时50
2024-12-09 20:02:01:390:    2024-12-09 20:02:01:389:    msleep: 50
2024-12-09 20:02:01:440:    2024-12-09 20:02:01:440:    循环42元素：断电
2024-12-09 20:02:01:441:    2024-12-09 20:02:01:440:    循环42元素：延时50
2024-12-09 20:02:01:441:    2024-12-09 20:02:01:440:    msleep: 50
2024-12-09 20:02:01:491:    2024-12-09 20:02:01:490:    循环42元素：上电
2024-12-09 20:02:01:491:    2024-12-09 20:02:01:490:    循环42元素：延时50
2024-12-09 20:02:01:491:    2024-12-09 20:02:01:490:    msleep: 50
2024-12-09 20:02:01:541:    2024-12-09 20:02:01:540:    循环43元素：断电
2024-12-09 20:02:01:541:    2024-12-09 20:02:01:540:    循环43元素：延时50
2024-12-09 20:02:01:541:    2024-12-09 20:02:01:540:    msleep: 50
2024-12-09 20:02:01:591:    2024-12-09 20:02:01:591:    循环43元素：上电
2024-12-09 20:02:01:592:    2024-12-09 20:02:01:591:    循环43元素：延时50
2024-12-09 20:02:01:592:    2024-12-09 20:02:01:591:    msleep: 50
2024-12-09 20:02:01:642:    2024-12-09 20:02:01:641:    循环44元素：断电
2024-12-09 20:02:01:642:    2024-12-09 20:02:01:641:    循环44元素：延时50
2024-12-09 20:02:01:642:    2024-12-09 20:02:01:641:    msleep: 50
2024-12-09 20:02:01:692:    2024-12-09 20:02:01:691:    循环44元素：上电
2024-12-09 20:02:01:692:    2024-12-09 20:02:01:691:    循环44元素：延时50
2024-12-09 20:02:01:692:    2024-12-09 20:02:01:691:    msleep: 50
2024-12-09 20:02:01:742:    2024-12-09 20:02:01:742:    循环45元素：断电
2024-12-09 20:02:01:743:    2024-12-09 20:02:01:742:    循环45元素：延时50
2024-12-09 20:02:01:743:    2024-12-09 20:02:01:742:    msleep: 50
2024-12-09 20:02:01:793:    2024-12-09 20:02:01:792:    循环45元素：上电
2024-12-09 20:02:01:793:    2024-12-09 20:02:01:792:    循环45元素：延时50
2024-12-09 20:02:01:793:    2024-12-09 20:02:01:792:    msleep: 50
2024-12-09 20:02:01:843:    2024-12-09 20:02:01:842:    循环46元素：断电
2024-12-09 20:02:01:843:    2024-12-09 20:02:01:842:    循环46元素：延时50
2024-12-09 20:02:01:843:    2024-12-09 20:02:01:842:    msleep: 50
2024-12-09 20:02:01:893:    2024-12-09 20:02:01:893:    循环46元素：上电
2024-12-09 20:02:01:894:    2024-12-09 20:02:01:893:    循环46元素：延时50
2024-12-09 20:02:01:894:    2024-12-09 20:02:01:893:    msleep: 50
2024-12-09 20:02:01:944:    2024-12-09 20:02:01:943:    循环47元素：断电
2024-12-09 20:02:01:944:    2024-12-09 20:02:01:943:    循环47元素：延时50
2024-12-09 20:02:01:944:    2024-12-09 20:02:01:943:    msleep: 50
2024-12-09 20:02:01:994:    2024-12-09 20:02:01:993:    循环47元素：上电
2024-12-09 20:02:01:994:    2024-12-09 20:02:01:993:    循环47元素：延时50
2024-12-09 20:02:01:994:    2024-12-09 20:02:01:993:    msleep: 50
2024-12-09 20:02:02:044:    2024-12-09 20:02:02:044:    循环48元素：断电
2024-12-09 20:02:02:045:    2024-12-09 20:02:02:044:    循环48元素：延时50
2024-12-09 20:02:02:045:    2024-12-09 20:02:02:044:    msleep: 50
2024-12-09 20:02:02:095:    2024-12-09 20:02:02:094:    循环48元素：上电
2024-12-09 20:02:02:095:    2024-12-09 20:02:02:094:    循环48元素：延时50
2024-12-09 20:02:02:095:    2024-12-09 20:02:02:094:    msleep: 50
2024-12-09 20:02:02:145:    2024-12-09 20:02:02:144:    循环49元素：断电
2024-12-09 20:02:02:145:    2024-12-09 20:02:02:144:    循环49元素：延时50
2024-12-09 20:02:02:145:    2024-12-09 20:02:02:144:    msleep: 50
2024-12-09 20:02:02:195:    2024-12-09 20:02:02:194:    循环49元素：上电
2024-12-09 20:02:02:196:    2024-12-09 20:02:02:195:    循环49元素：延时50
2024-12-09 20:02:02:196:    2024-12-09 20:02:02:195:    msleep: 50
2024-12-09 20:02:02:246:    2024-12-09 20:02:02:245:    循环50元素：断电
2024-12-09 20:02:02:246:    2024-12-09 20:02:02:245:    循环50元素：延时50
2024-12-09 20:02:02:246:    2024-12-09 20:02:02:245:    msleep: 50
2024-12-09 20:02:02:296:    2024-12-09 20:02:02:295:    循环50元素：上电
2024-12-09 20:02:02:296:    2024-12-09 20:02:02:295:    循环50元素：延时50
2024-12-09 20:02:02:296:    2024-12-09 20:02:02:295:    msleep: 50
2024-12-09 20:02:02:346:    2024-12-09 20:02:02:346:    msleep: 1000
2024-12-09 20:02:04:397:    2024-12-09 20:02:04:396:    msleep: 1000
结果正常

-----------一行结束------------------
