2024-12-09 20:01:28:402:    2024-12-09 20:01:28:401:    测试结束
2024-12-09 20:01:32:334:    2024-12-09 20:01:32:333:    循环21元素：延时50
2024-12-09 20:01:32:334:    2024-12-09 20:01:32:333:    msleep: 50
2024-12-09 20:01:32:384:    2024-12-09 20:01:32:383:    循环21元素：上电
2024-12-09 20:01:32:384:    2024-12-09 20:01:32:383:    循环21元素：延时50
2024-12-09 20:01:32:384:    2024-12-09 20:01:32:383:    msleep: 50
2024-12-09 20:01:32:434:    2024-12-09 20:01:32:433:    循环22元素：断电
2024-12-09 20:01:32:434:    2024-12-09 20:01:32:434:    循环22元素：延时50
2024-12-09 20:01:32:434:    2024-12-09 20:01:32:434:    msleep: 50
2024-12-09 20:01:32:484:    2024-12-09 20:01:32:484:    循环22元素：上电
2024-12-09 20:01:32:485:    2024-12-09 20:01:32:484:    循环22元素：延时50
2024-12-09 20:01:32:485:    2024-12-09 20:01:32:484:    msleep: 50
2024-12-09 20:01:32:535:    2024-12-09 20:01:32:534:    循环23元素：断电
2024-12-09 20:01:32:535:    2024-12-09 20:01:32:534:    循环23元素：延时50
2024-12-09 20:01:32:535:    2024-12-09 20:01:32:534:    msleep: 50
2024-12-09 20:01:32:585:    2024-12-09 20:01:32:584:    循环23元素：上电
2024-12-09 20:01:32:585:    2024-12-09 20:01:32:584:    循环23元素：延时50
2024-12-09 20:01:32:585:    2024-12-09 20:01:32:584:    msleep: 50
2024-12-09 20:01:32:635:    2024-12-09 20:01:32:635:    循环24元素：断电
2024-12-09 20:01:32:635:    2024-12-09 20:01:32:635:    循环24元素：延时50
2024-12-09 20:01:32:635:    2024-12-09 20:01:32:635:    msleep: 50
2024-12-09 20:01:32:685:    2024-12-09 20:01:32:685:    循环24元素：上电
2024-12-09 20:01:32:686:    2024-12-09 20:01:32:685:    循环24元素：延时50
2024-12-09 20:01:32:686:    2024-12-09 20:01:32:685:    msleep: 50
2024-12-09 20:01:32:736:    2024-12-09 20:01:32:735:    循环25元素：断电
2024-12-09 20:01:32:736:    2024-12-09 20:01:32:735:    循环25元素：延时50
2024-12-09 20:01:32:736:    2024-12-09 20:01:32:735:    msleep: 50
2024-12-09 20:01:32:786:    2024-12-09 20:01:32:785:    循环25元素：上电
2024-12-09 20:01:32:786:    2024-12-09 20:01:32:786:    循环25元素：延时50
2024-12-09 20:01:32:786:    2024-12-09 20:01:32:786:    msleep: 50
2024-12-09 20:01:32:836:    2024-12-09 20:01:32:836:    循环26元素：断电
2024-12-09 20:01:32:837:    2024-12-09 20:01:32:836:    循环26元素：延时50
2024-12-09 20:01:32:837:    2024-12-09 20:01:32:836:    msleep: 50
2024-12-09 20:01:32:887:    2024-12-09 20:01:32:886:    循环26元素：上电
2024-12-09 20:01:32:887:    2024-12-09 20:01:32:886:    循环26元素：延时50
2024-12-09 20:01:32:887:    2024-12-09 20:01:32:886:    msleep: 50
2024-12-09 20:01:32:937:    2024-12-09 20:01:32:936:    循环27元素：断电
2024-12-09 20:01:32:937:    2024-12-09 20:01:32:936:    循环27元素：延时50
2024-12-09 20:01:32:937:    2024-12-09 20:01:32:936:    msleep: 50
2024-12-09 20:01:32:987:    2024-12-09 20:01:32:987:    循环27元素：上电
2024-12-09 20:01:32:987:    2024-12-09 20:01:32:987:    循环27元素：延时50
2024-12-09 20:01:32:987:    2024-12-09 20:01:32:987:    msleep: 50
2024-12-09 20:01:33:037:    2024-12-09 20:01:33:037:    循环28元素：断电
2024-12-09 20:01:33:038:    2024-12-09 20:01:33:037:    循环28元素：延时50
2024-12-09 20:01:33:038:    2024-12-09 20:01:33:037:    msleep: 50
2024-12-09 20:01:33:088:    2024-12-09 20:01:33:087:    循环28元素：上电
2024-12-09 20:01:33:088:    2024-12-09 20:01:33:087:    循环28元素：延时50
2024-12-09 20:01:33:088:    2024-12-09 20:01:33:087:    msleep: 50
2024-12-09 20:01:33:138:    2024-12-09 20:01:33:137:    循环29元素：断电
2024-12-09 20:01:33:138:    2024-12-09 20:01:33:137:    循环29元素：延时50
2024-12-09 20:01:33:138:    2024-12-09 20:01:33:137:    msleep: 50
2024-12-09 20:01:33:188:    2024-12-09 20:01:33:188:    循环29元素：上电
2024-12-09 20:01:33:188:    2024-12-09 20:01:33:188:    循环29元素：延时50
2024-12-09 20:01:33:188:    2024-12-09 20:01:33:188:    msleep: 50
2024-12-09 20:01:33:238:    2024-12-09 20:01:33:238:    循环30元素：断电
2024-12-09 20:01:33:239:    2024-12-09 20:01:33:238:    循环30元素：延时50
2024-12-09 20:01:33:239:    2024-12-09 20:01:33:238:    msleep: 50
2024-12-09 20:01:33:289:    2024-12-09 20:01:33:288:    循环30元素：上电
2024-12-09 20:01:33:289:    2024-12-09 20:01:33:288:    循环30元素：延时50
2024-12-09 20:01:33:289:    2024-12-09 20:01:33:288:    msleep: 50
2024-12-09 20:01:33:339:    2024-12-09 20:01:33:338:    循环31元素：断电
2024-12-09 20:01:33:339:    2024-12-09 20:01:33:338:    循环31元素：延时50
2024-12-09 20:01:33:339:    2024-12-09 20:01:33:339:    msleep: 50
2024-12-09 20:01:33:389:    2024-12-09 20:01:33:389:    循环31元素：上电
2024-12-09 20:01:33:390:    2024-12-09 20:01:33:389:    循环31元素：延时50
2024-12-09 20:01:33:390:    2024-12-09 20:01:33:389:    msleep: 50
2024-12-09 20:01:33:440:    2024-12-09 20:01:33:439:    循环32元素：断电
2024-12-09 20:01:33:440:    2024-12-09 20:01:33:439:    循环32元素：延时50
2024-12-09 20:01:33:440:    2024-12-09 20:01:33:439:    msleep: 50
2024-12-09 20:01:33:490:    2024-12-09 20:01:33:489:    循环32元素：上电
2024-12-09 20:01:33:490:    2024-12-09 20:01:33:489:    循环32元素：延时50
2024-12-09 20:01:33:490:    2024-12-09 20:01:33:489:    msleep: 50
2024-12-09 20:01:33:540:    2024-12-09 20:01:33:540:    循环33元素：断电
2024-12-09 20:01:33:540:    2024-12-09 20:01:33:540:    循环33元素：延时50
2024-12-09 20:01:33:540:    2024-12-09 20:01:33:540:    msleep: 50
2024-12-09 20:01:33:590:    2024-12-09 20:01:33:590:    循环33元素：上电
2024-12-09 20:01:33:591:    2024-12-09 20:01:33:590:    循环33元素：延时50
2024-12-09 20:01:33:591:    2024-12-09 20:01:33:590:    msleep: 50
2024-12-09 20:01:33:641:    2024-12-09 20:01:33:640:    循环34元素：断电
2024-12-09 20:01:33:641:    2024-12-09 20:01:33:640:    循环34元素：延时50
2024-12-09 20:01:33:641:    2024-12-09 20:01:33:640:    msleep: 50
2024-12-09 20:01:33:691:    2024-12-09 20:01:33:690:    循环34元素：上电
2024-12-09 20:01:33:691:    2024-12-09 20:01:33:691:    循环34元素：延时50
2024-12-09 20:01:33:691:    2024-12-09 20:01:33:691:    msleep: 50
2024-12-09 20:01:33:741:    2024-12-09 20:01:33:741:    循环35元素：断电
2024-12-09 20:01:33:742:    2024-12-09 20:01:33:741:    循环35元素：延时50
2024-12-09 20:01:33:742:    2024-12-09 20:01:33:741:    msleep: 50
2024-12-09 20:01:33:792:    2024-12-09 20:01:33:791:    循环35元素：上电
2024-12-09 20:01:33:792:    2024-12-09 20:01:33:791:    循环35元素：延时50
2024-12-09 20:01:33:792:    2024-12-09 20:01:33:791:    msleep: 50
2024-12-09 20:01:33:842:    2024-12-09 20:01:33:841:    循环36元素：断电
2024-12-09 20:01:33:842:    2024-12-09 20:01:33:841:    循环36元素：延时50
2024-12-09 20:01:33:842:    2024-12-09 20:01:33:841:    msleep: 50
2024-12-09 20:01:33:892:    2024-12-09 20:01:33:892:    循环36元素：上电
2024-12-09 20:01:33:892:    2024-12-09 20:01:33:892:    循环36元素：延时50
2024-12-09 20:01:33:892:    2024-12-09 20:01:33:892:    msleep: 50
2024-12-09 20:01:33:942:    2024-12-09 20:01:33:942:    循环37元素：断电
2024-12-09 20:01:33:943:    2024-12-09 20:01:33:942:    循环37元素：延时50
2024-12-09 20:01:33:943:    2024-12-09 20:01:33:942:    msleep: 50
2024-12-09 20:01:33:993:    2024-12-09 20:01:33:992:    循环37元素：上电
2024-12-09 20:01:33:993:    2024-12-09 20:01:33:992:    循环37元素：延时50
2024-12-09 20:01:33:993:    2024-12-09 20:01:33:992:    msleep: 50
2024-12-09 20:01:34:043:    2024-12-09 20:01:34:042:    循环38元素：断电
2024-12-09 20:01:34:043:    2024-12-09 20:01:34:043:    循环38元素：延时50
2024-12-09 20:01:34:043:    2024-12-09 20:01:34:043:    msleep: 50
2024-12-09 20:01:34:093:    2024-12-09 20:01:34:093:    循环38元素：上电
2024-12-09 20:01:34:094:    2024-12-09 20:01:34:093:    循环38元素：延时50
2024-12-09 20:01:34:094:    2024-12-09 20:01:34:093:    msleep: 50
2024-12-09 20:01:34:144:    2024-12-09 20:01:34:143:    循环39元素：断电
2024-12-09 20:01:34:144:    2024-12-09 20:01:34:143:    循环39元素：延时50
2024-12-09 20:01:34:144:    2024-12-09 20:01:34:143:    msleep: 50
2024-12-09 20:01:34:194:    2024-12-09 20:01:34:193:    循环39元素：上电
2024-12-09 20:01:34:194:    2024-12-09 20:01:34:193:    循环39元素：延时50
2024-12-09 20:01:34:194:    2024-12-09 20:01:34:193:    msleep: 50
2024-12-09 20:01:34:244:    2024-12-09 20:01:34:244:    循环40元素：断电
2024-12-09 20:01:34:244:    2024-12-09 20:01:34:244:    循环40元素：延时50
2024-12-09 20:01:34:244:    2024-12-09 20:01:34:244:    msleep: 50
2024-12-09 20:01:34:294:    2024-12-09 20:01:34:294:    循环40元素：上电
2024-12-09 20:01:34:295:    2024-12-09 20:01:34:294:    循环40元素：延时50
2024-12-09 20:01:34:295:    2024-12-09 20:01:34:294:    msleep: 50
2024-12-09 20:01:34:345:    2024-12-09 20:01:34:344:    循环41元素：断电
2024-12-09 20:01:34:345:    2024-12-09 20:01:34:344:    循环41元素：延时50
2024-12-09 20:01:34:345:    2024-12-09 20:01:34:344:    msleep: 50
2024-12-09 20:01:34:395:    2024-12-09 20:01:34:394:    循环41元素：上电
2024-12-09 20:01:34:395:    2024-12-09 20:01:34:395:    循环41元素：延时50
2024-12-09 20:01:34:395:    2024-12-09 20:01:34:395:    msleep: 50
2024-12-09 20:01:34:445:    2024-12-09 20:01:34:445:    循环42元素：断电
2024-12-09 20:01:34:446:    2024-12-09 20:01:34:445:    循环42元素：延时50
2024-12-09 20:01:34:446:    2024-12-09 20:01:34:445:    msleep: 50
2024-12-09 20:01:34:496:    2024-12-09 20:01:34:495:    循环42元素：上电
2024-12-09 20:01:34:496:    2024-12-09 20:01:34:495:    循环42元素：延时50
2024-12-09 20:01:34:496:    2024-12-09 20:01:34:495:    msleep: 50
2024-12-09 20:01:34:546:    2024-12-09 20:01:34:545:    循环43元素：断电
2024-12-09 20:01:34:546:    2024-12-09 20:01:34:545:    循环43元素：延时50
2024-12-09 20:01:34:546:    2024-12-09 20:01:34:545:    msleep: 50
2024-12-09 20:01:34:596:    2024-12-09 20:01:34:596:    循环43元素：上电
2024-12-09 20:01:34:596:    2024-12-09 20:01:34:596:    循环43元素：延时50
2024-12-09 20:01:34:596:    2024-12-09 20:01:34:596:    msleep: 50
2024-12-09 20:01:34:646:    2024-12-09 20:01:34:646:    循环44元素：断电
2024-12-09 20:01:34:647:    2024-12-09 20:01:34:646:    循环44元素：延时50
2024-12-09 20:01:34:647:    2024-12-09 20:01:34:646:    msleep: 50
2024-12-09 20:01:34:697:    2024-12-09 20:01:34:696:    循环44元素：上电
2024-12-09 20:01:34:697:    2024-12-09 20:01:34:696:    循环44元素：延时50
2024-12-09 20:01:34:697:    2024-12-09 20:01:34:696:    msleep: 50
2024-12-09 20:01:34:747:    2024-12-09 20:01:34:746:    循环45元素：断电
2024-12-09 20:01:34:747:    2024-12-09 20:01:34:746:    循环45元素：延时50
2024-12-09 20:01:34:747:    2024-12-09 20:01:34:747:    msleep: 50
2024-12-09 20:01:34:797:    2024-12-09 20:01:34:797:    循环45元素：上电
2024-12-09 20:01:34:798:    2024-12-09 20:01:34:797:    循环45元素：延时50
2024-12-09 20:01:34:798:    2024-12-09 20:01:34:797:    msleep: 50
2024-12-09 20:01:34:848:    2024-12-09 20:01:34:847:    循环46元素：断电
2024-12-09 20:01:34:848:    2024-12-09 20:01:34:847:    循环46元素：延时50
2024-12-09 20:01:34:848:    2024-12-09 20:01:34:847:    msleep: 50
2024-12-09 20:01:34:898:    2024-12-09 20:01:34:897:    循环46元素：上电
2024-12-09 20:01:34:898:    2024-12-09 20:01:34:897:    循环46元素：延时50
2024-12-09 20:01:34:898:    2024-12-09 20:01:34:897:    msleep: 50
2024-12-09 20:01:34:948:    2024-12-09 20:01:34:948:    循环47元素：断电
2024-12-09 20:01:34:949:    2024-12-09 20:01:34:948:    循环47元素：延时50
2024-12-09 20:01:34:949:    2024-12-09 20:01:34:948:    msleep: 50
2024-12-09 20:01:34:999:    2024-12-09 20:01:34:998:    循环47元素：上电
2024-12-09 20:01:34:999:    2024-12-09 20:01:34:998:    循环47元素：延时50
2024-12-09 20:01:34:999:    2024-12-09 20:01:34:998:    msleep: 50
2024-12-09 20:01:35:049:    2024-12-09 20:01:35:048:    循环48元素：断电
2024-12-09 20:01:35:049:    2024-12-09 20:01:35:048:    循环48元素：延时50
2024-12-09 20:01:35:049:    2024-12-09 20:01:35:048:    msleep: 50
2024-12-09 20:01:35:099:    2024-12-09 20:01:35:099:    循环48元素：上电
2024-12-09 20:01:35:100:    2024-12-09 20:01:35:099:    循环48元素：延时50
2024-12-09 20:01:35:100:    2024-12-09 20:01:35:099:    msleep: 50
2024-12-09 20:01:35:150:    2024-12-09 20:01:35:149:    循环49元素：断电
2024-12-09 20:01:35:150:    2024-12-09 20:01:35:149:    循环49元素：延时50
2024-12-09 20:01:35:150:    2024-12-09 20:01:35:149:    msleep: 50
2024-12-09 20:01:35:200:    2024-12-09 20:01:35:199:    循环49元素：上电
2024-12-09 20:01:35:200:    2024-12-09 20:01:35:199:    循环49元素：延时50
2024-12-09 20:01:35:200:    2024-12-09 20:01:35:199:    msleep: 50
2024-12-09 20:01:35:250:    2024-12-09 20:01:35:250:    循环50元素：断电
2024-12-09 20:01:35:251:    2024-12-09 20:01:35:250:    循环50元素：延时50
2024-12-09 20:01:35:251:    2024-12-09 20:01:35:250:    msleep: 50
2024-12-09 20:01:35:301:    2024-12-09 20:01:35:300:    循环50元素：上电
2024-12-09 20:01:35:301:    2024-12-09 20:01:35:300:    循环50元素：延时50
2024-12-09 20:01:35:301:    2024-12-09 20:01:35:300:    msleep: 50
2024-12-09 20:01:35:351:    2024-12-09 20:01:35:350:    msleep: 1000
2024-12-09 20:01:37:402:    2024-12-09 20:01:37:401:    msleep: 1000
结果正常

-----------一行结束------------------
