2024-12-09 20:23:28:233:    case:==========================蓝牙模式下，快速按语音按键，测试是否正常==========================
2024-12-09 20:23:45:740:    2024-12-09 20:23:45:739:    循环4元素：延时100
2024-12-09 20:23:45:740:    2024-12-09 20:23:45:739:    msleep: 100
2024-12-09 20:23:45:840:    2024-12-09 20:23:45:839:    循环4元素：语音按键抬起
2024-12-09 20:23:45:840:    2024-12-09 20:23:45:839:    循环4元素：延时100
2024-12-09 20:23:45:840:    2024-12-09 20:23:45:839:    msleep: 100
2024-12-09 20:23:45:940:    2024-12-09 20:23:45:939:    循环5元素：语音按键按下
2024-12-09 20:23:45:940:    2024-12-09 20:23:45:939:    循环5元素：延时100
2024-12-09 20:23:45:940:    2024-12-09 20:23:45:939:    msleep: 100
2024-12-09 20:23:46:040:    2024-12-09 20:23:46:040:    循环5元素：语音按键抬起
2024-12-09 20:23:46:041:    2024-12-09 20:23:46:040:    循环5元素：延时100
2024-12-09 20:23:46:041:    2024-12-09 20:23:46:040:    msleep: 100
2024-12-09 20:23:46:141:    2024-12-09 20:23:46:140:    循环6元素：语音按键按下
2024-12-09 20:23:46:141:    2024-12-09 20:23:46:140:    循环6元素：延时100
2024-12-09 20:23:46:141:    2024-12-09 20:23:46:140:    msleep: 100
2024-12-09 20:23:46:241:    2024-12-09 20:23:46:240:    循环6元素：语音按键抬起
2024-12-09 20:23:46:242:    2024-12-09 20:23:46:241:    循环6元素：延时100
2024-12-09 20:23:46:242:    2024-12-09 20:23:46:241:    msleep: 100
2024-12-09 20:23:46:341:    2024-12-09 20:23:46:341:    循环7元素：语音按键按下
2024-12-09 20:23:46:342:    2024-12-09 20:23:46:341:    循环7元素：延时100
2024-12-09 20:23:46:342:    2024-12-09 20:23:46:341:    msleep: 100
2024-12-09 20:23:46:442:    2024-12-09 20:23:46:441:    循环7元素：语音按键抬起
2024-12-09 20:23:46:442:    2024-12-09 20:23:46:441:    循环7元素：延时100
2024-12-09 20:23:46:442:    2024-12-09 20:23:46:441:    msleep: 100
2024-12-09 20:23:46:542:    2024-12-09 20:23:46:541:    循环8元素：语音按键按下
2024-12-09 20:23:46:542:    2024-12-09 20:23:46:542:    循环8元素：延时100
2024-12-09 20:23:46:542:    2024-12-09 20:23:46:542:    msleep: 100
2024-12-09 20:23:46:643:    2024-12-09 20:23:46:642:    循环8元素：语音按键抬起
2024-12-09 20:23:46:643:    2024-12-09 20:23:46:642:    循环8元素：延时100
2024-12-09 20:23:46:643:    2024-12-09 20:23:46:642:    msleep: 100
2024-12-09 20:23:46:744:    2024-12-09 20:23:46:743:    循环9元素：语音按键按下
2024-12-09 20:23:46:745:    2024-12-09 20:23:46:744:    循环9元素：延时100
2024-12-09 20:23:46:745:    2024-12-09 20:23:46:744:    msleep: 100
2024-12-09 20:23:46:845:    2024-12-09 20:23:46:844:    循环9元素：语音按键抬起
2024-12-09 20:23:46:845:    2024-12-09 20:23:46:844:    循环9元素：延时100
2024-12-09 20:23:46:845:    2024-12-09 20:23:46:844:    msleep: 100
2024-12-09 20:23:46:945:    2024-12-09 20:23:46:944:    循环10元素：语音按键按下
2024-12-09 20:23:46:945:    2024-12-09 20:23:46:944:    循环10元素：延时100
2024-12-09 20:23:46:945:    2024-12-09 20:23:46:944:    msleep: 100
2024-12-09 20:23:47:045:    2024-12-09 20:23:47:045:    循环10元素：语音按键抬起
2024-12-09 20:23:47:046:    2024-12-09 20:23:47:045:    循环10元素：延时100
2024-12-09 20:23:47:046:    2024-12-09 20:23:47:045:    msleep: 100
2024-12-09 20:23:47:146:    2024-12-09 20:23:47:145:    循环11元素：语音按键按下
2024-12-09 20:23:47:146:    2024-12-09 20:23:47:145:    循环11元素：延时100
2024-12-09 20:23:47:146:    2024-12-09 20:23:47:145:    msleep: 100
2024-12-09 20:23:47:246:    2024-12-09 20:23:47:245:    循环11元素：语音按键抬起
2024-12-09 20:23:47:246:    2024-12-09 20:23:47:245:    循环11元素：延时100
2024-12-09 20:23:47:246:    2024-12-09 20:23:47:245:    msleep: 100
2024-12-09 20:23:47:350:    2024-12-09 20:23:47:346:    循环12元素：语音按键按下
2024-12-09 20:23:47:351:    2024-12-09 20:23:47:346:    循环12元素：延时100
2024-12-09 20:23:47:351:    2024-12-09 20:23:47:346:    msleep: 100
2024-12-09 20:23:47:447:    2024-12-09 20:23:47:447:    循环12元素：语音按键抬起
2024-12-09 20:23:47:448:    2024-12-09 20:23:47:447:    循环12元素：延时100
2024-12-09 20:23:47:448:    2024-12-09 20:23:47:447:    msleep: 100
2024-12-09 20:23:47:553:    2024-12-09 20:23:47:548:    循环13元素：语音按键按下
2024-12-09 20:23:47:553:    2024-12-09 20:23:47:548:    循环13元素：延时100
2024-12-09 20:23:47:553:    2024-12-09 20:23:47:548:    msleep: 100
2024-12-09 20:23:47:649:    2024-12-09 20:23:47:649:    循环13元素：语音按键抬起
2024-12-09 20:23:47:650:    2024-12-09 20:23:47:649:    循环13元素：延时100
2024-12-09 20:23:47:650:    2024-12-09 20:23:47:649:    msleep: 100
2024-12-09 20:23:47:749:    2024-12-09 20:23:47:749:    循环14元素：语音按键按下
2024-12-09 20:23:47:750:    2024-12-09 20:23:47:749:    循环14元素：延时100
2024-12-09 20:23:47:750:    2024-12-09 20:23:47:749:    msleep: 100
2024-12-09 20:23:47:850:    2024-12-09 20:23:47:849:    循环14元素：语音按键抬起
2024-12-09 20:23:47:850:    2024-12-09 20:23:47:849:    循环14元素：延时100
2024-12-09 20:23:47:850:    2024-12-09 20:23:47:849:    msleep: 100
2024-12-09 20:23:47:950:    2024-12-09 20:23:47:949:    循环15元素：语音按键按下
2024-12-09 20:23:47:950:    2024-12-09 20:23:47:950:    循环15元素：延时100
2024-12-09 20:23:47:951:    2024-12-09 20:23:47:950:    msleep: 100
2024-12-09 20:23:48:050:    2024-12-09 20:23:48:050:    循环15元素：语音按键抬起
2024-12-09 20:23:48:051:    2024-12-09 20:23:48:050:    循环15元素：延时100
2024-12-09 20:23:48:051:    2024-12-09 20:23:48:050:    msleep: 100
2024-12-09 20:23:48:151:    2024-12-09 20:23:48:150:    循环16元素：语音按键按下
2024-12-09 20:23:48:151:    2024-12-09 20:23:48:150:    循环16元素：延时100
2024-12-09 20:23:48:151:    2024-12-09 20:23:48:150:    msleep: 100
2024-12-09 20:23:48:251:    2024-12-09 20:23:48:250:    循环16元素：语音按键抬起
2024-12-09 20:23:48:251:    2024-12-09 20:23:48:251:    循环16元素：延时100
2024-12-09 20:23:48:252:    2024-12-09 20:23:48:251:    msleep: 100
2024-12-09 20:23:48:352:    2024-12-09 20:23:48:351:    循环17元素：语音按键按下
2024-12-09 20:23:48:352:    2024-12-09 20:23:48:351:    循环17元素：延时100
2024-12-09 20:23:48:352:    2024-12-09 20:23:48:351:    msleep: 100
2024-12-09 20:23:48:452:    2024-12-09 20:23:48:451:    循环17元素：语音按键抬起
2024-12-09 20:23:48:452:    2024-12-09 20:23:48:451:    循环17元素：延时100
2024-12-09 20:23:48:452:    2024-12-09 20:23:48:451:    msleep: 100
2024-12-09 20:23:48:552:    2024-12-09 20:23:48:551:    循环18元素：语音按键按下
2024-12-09 20:23:48:553:    2024-12-09 20:23:48:551:    循环18元素：延时100
2024-12-09 20:23:48:553:    2024-12-09 20:23:48:552:    msleep: 100
2024-12-09 20:23:48:654:    2024-12-09 20:23:48:653:    循环18元素：语音按键抬起
2024-12-09 20:23:48:654:    2024-12-09 20:23:48:653:    循环18元素：延时100
2024-12-09 20:23:48:654:    2024-12-09 20:23:48:653:    msleep: 100
2024-12-09 20:23:48:754:    2024-12-09 20:23:48:753:    循环19元素：语音按键按下
2024-12-09 20:23:48:755:    2024-12-09 20:23:48:753:    循环19元素：延时100
2024-12-09 20:23:48:755:    2024-12-09 20:23:48:753:    msleep: 100
2024-12-09 20:23:48:854:    2024-12-09 20:23:48:854:    循环19元素：语音按键抬起
2024-12-09 20:23:48:855:    2024-12-09 20:23:48:854:    循环19元素：延时100
2024-12-09 20:23:48:855:    2024-12-09 20:23:48:854:    msleep: 100
2024-12-09 20:23:48:956:    2024-12-09 20:23:48:955:    循环20元素：语音按键按下
2024-12-09 20:23:48:956:    2024-12-09 20:23:48:955:    循环20元素：延时100
2024-12-09 20:23:48:956:    2024-12-09 20:23:48:955:    msleep: 100
2024-12-09 20:23:49:056:    2024-12-09 20:23:49:055:    循环20元素：语音按键抬起
2024-12-09 20:23:49:056:    2024-12-09 20:23:49:055:    循环20元素：延时100
2024-12-09 20:23:49:056:    2024-12-09 20:23:49:055:    msleep: 100
2024-12-09 20:23:49:156:    2024-12-09 20:23:49:156:    msleep: 1000
2024-12-09 20:23:50:157:    2024-12-09 20:23:50:156:    msleep: 5000
2024-12-09 20:23:55:157:    2024-12-09 20:23:55:156:    msleep: 1000
结果正常

2024-12-09 20:24:03:361:    取消配对
2024-12-09 20:24:03:405:    已断开
-----------一行结束------------------
