2024-12-09 20:02:05:674:    case:==========================供高电模式（3.6v），蓝牙模式，快速上下电==========================
2024-12-09 20:02:18:932:    2024-12-09 20:02:18:931:    循环33元素：延时50
2024-12-09 20:02:18:932:    2024-12-09 20:02:18:931:    msleep: 50
2024-12-09 20:02:18:982:    2024-12-09 20:02:18:981:    循环34元素：断电
2024-12-09 20:02:18:982:    2024-12-09 20:02:18:981:    循环34元素：延时50
2024-12-09 20:02:18:982:    2024-12-09 20:02:18:981:    msleep: 50
2024-12-09 20:02:19:032:    2024-12-09 20:02:19:031:    循环34元素：上电
2024-12-09 20:02:19:033:    2024-12-09 20:02:19:032:    循环34元素：延时50
2024-12-09 20:02:19:033:    2024-12-09 20:02:19:032:    msleep: 50
2024-12-09 20:02:19:082:    2024-12-09 20:02:19:082:    循环35元素：断电
2024-12-09 20:02:19:083:    2024-12-09 20:02:19:082:    循环35元素：延时50
2024-12-09 20:02:19:083:    2024-12-09 20:02:19:082:    msleep: 50
2024-12-09 20:02:19:133:    2024-12-09 20:02:19:132:    循环35元素：上电
2024-12-09 20:02:19:133:    2024-12-09 20:02:19:132:    循环35元素：延时50
2024-12-09 20:02:19:133:    2024-12-09 20:02:19:132:    msleep: 50
2024-12-09 20:02:19:183:    2024-12-09 20:02:19:182:    循环36元素：断电
2024-12-09 20:02:19:183:    2024-12-09 20:02:19:183:    循环36元素：延时50
2024-12-09 20:02:19:183:    2024-12-09 20:02:19:183:    msleep: 50
2024-12-09 20:02:19:233:    2024-12-09 20:02:19:233:    循环36元素：上电
2024-12-09 20:02:19:234:    2024-12-09 20:02:19:233:    循环36元素：延时50
2024-12-09 20:02:19:234:    2024-12-09 20:02:19:233:    msleep: 50
2024-12-09 20:02:19:284:    2024-12-09 20:02:19:283:    循环37元素：断电
2024-12-09 20:02:19:284:    2024-12-09 20:02:19:283:    循环37元素：延时50
2024-12-09 20:02:19:284:    2024-12-09 20:02:19:283:    msleep: 50
2024-12-09 20:02:19:334:    2024-12-09 20:02:19:333:    循环37元素：上电
2024-12-09 20:02:19:334:    2024-12-09 20:02:19:333:    循环37元素：延时50
2024-12-09 20:02:19:334:    2024-12-09 20:02:19:334:    msleep: 50
2024-12-09 20:02:19:384:    2024-12-09 20:02:19:384:    循环38元素：断电
2024-12-09 20:02:19:385:    2024-12-09 20:02:19:384:    循环38元素：延时50
2024-12-09 20:02:19:385:    2024-12-09 20:02:19:384:    msleep: 50
2024-12-09 20:02:19:435:    2024-12-09 20:02:19:434:    循环38元素：上电
2024-12-09 20:02:19:435:    2024-12-09 20:02:19:434:    循环38元素：延时50
2024-12-09 20:02:19:435:    2024-12-09 20:02:19:434:    msleep: 50
2024-12-09 20:02:19:485:    2024-12-09 20:02:19:484:    循环39元素：断电
2024-12-09 20:02:19:485:    2024-12-09 20:02:19:484:    循环39元素：延时50
2024-12-09 20:02:19:485:    2024-12-09 20:02:19:485:    msleep: 50
2024-12-09 20:02:19:535:    2024-12-09 20:02:19:535:    循环39元素：上电
2024-12-09 20:02:19:536:    2024-12-09 20:02:19:535:    循环39元素：延时50
2024-12-09 20:02:19:536:    2024-12-09 20:02:19:535:    msleep: 50
2024-12-09 20:02:19:586:    2024-12-09 20:02:19:585:    循环40元素：断电
2024-12-09 20:02:19:586:    2024-12-09 20:02:19:585:    循环40元素：延时50
2024-12-09 20:02:19:586:    2024-12-09 20:02:19:585:    msleep: 50
2024-12-09 20:02:19:636:    2024-12-09 20:02:19:635:    循环40元素：上电
2024-12-09 20:02:19:636:    2024-12-09 20:02:19:635:    循环40元素：延时50
2024-12-09 20:02:19:636:    2024-12-09 20:02:19:635:    msleep: 50
2024-12-09 20:02:19:686:    2024-12-09 20:02:19:686:    循环41元素：断电
2024-12-09 20:02:19:687:    2024-12-09 20:02:19:686:    循环41元素：延时50
2024-12-09 20:02:19:687:    2024-12-09 20:02:19:686:    msleep: 50
2024-12-09 20:02:19:737:    2024-12-09 20:02:19:736:    循环41元素：上电
2024-12-09 20:02:19:737:    2024-12-09 20:02:19:736:    循环41元素：延时50
2024-12-09 20:02:19:737:    2024-12-09 20:02:19:736:    msleep: 50
2024-12-09 20:02:19:787:    2024-12-09 20:02:19:786:    循环42元素：断电
2024-12-09 20:02:19:787:    2024-12-09 20:02:19:786:    循环42元素：延时50
2024-12-09 20:02:19:787:    2024-12-09 20:02:19:786:    msleep: 50
2024-12-09 20:02:19:837:    2024-12-09 20:02:19:837:    循环42元素：上电
2024-12-09 20:02:19:838:    2024-12-09 20:02:19:837:    循环42元素：延时50
2024-12-09 20:02:19:838:    2024-12-09 20:02:19:837:    msleep: 50
2024-12-09 20:02:19:888:    2024-12-09 20:02:19:887:    循环43元素：断电
2024-12-09 20:02:19:888:    2024-12-09 20:02:19:887:    循环43元素：延时50
2024-12-09 20:02:19:888:    2024-12-09 20:02:19:887:    msleep: 50
2024-12-09 20:02:19:938:    2024-12-09 20:02:19:937:    循环43元素：上电
2024-12-09 20:02:19:938:    2024-12-09 20:02:19:937:    循环43元素：延时50
2024-12-09 20:02:19:938:    2024-12-09 20:02:19:937:    msleep: 50
2024-12-09 20:02:19:988:    2024-12-09 20:02:19:988:    循环44元素：断电
2024-12-09 20:02:19:989:    2024-12-09 20:02:19:988:    循环44元素：延时50
2024-12-09 20:02:19:989:    2024-12-09 20:02:19:988:    msleep: 50
2024-12-09 20:02:20:039:    2024-12-09 20:02:20:038:    循环44元素：上电
2024-12-09 20:02:20:039:    2024-12-09 20:02:20:038:    循环44元素：延时50
2024-12-09 20:02:20:039:    2024-12-09 20:02:20:038:    msleep: 50
2024-12-09 20:02:20:089:    2024-12-09 20:02:20:088:    循环45元素：断电
2024-12-09 20:02:20:089:    2024-12-09 20:02:20:088:    循环45元素：延时50
2024-12-09 20:02:20:089:    2024-12-09 20:02:20:089:    msleep: 50
2024-12-09 20:02:20:139:    2024-12-09 20:02:20:139:    循环45元素：上电
2024-12-09 20:02:20:140:    2024-12-09 20:02:20:139:    循环45元素：延时50
2024-12-09 20:02:20:140:    2024-12-09 20:02:20:139:    msleep: 50
2024-12-09 20:02:20:190:    2024-12-09 20:02:20:189:    循环46元素：断电
2024-12-09 20:02:20:190:    2024-12-09 20:02:20:189:    循环46元素：延时50
2024-12-09 20:02:20:190:    2024-12-09 20:02:20:189:    msleep: 50
2024-12-09 20:02:20:240:    2024-12-09 20:02:20:239:    循环46元素：上电
2024-12-09 20:02:20:240:    2024-12-09 20:02:20:239:    循环46元素：延时50
2024-12-09 20:02:20:240:    2024-12-09 20:02:20:240:    msleep: 50
2024-12-09 20:02:20:290:    2024-12-09 20:02:20:290:    循环47元素：断电
2024-12-09 20:02:20:291:    2024-12-09 20:02:20:290:    循环47元素：延时50
2024-12-09 20:02:20:291:    2024-12-09 20:02:20:290:    msleep: 50
2024-12-09 20:02:20:341:    2024-12-09 20:02:20:340:    循环47元素：上电
2024-12-09 20:02:20:341:    2024-12-09 20:02:20:340:    循环47元素：延时50
2024-12-09 20:02:20:341:    2024-12-09 20:02:20:340:    msleep: 50
2024-12-09 20:02:20:391:    2024-12-09 20:02:20:390:    循环48元素：断电
2024-12-09 20:02:20:391:    2024-12-09 20:02:20:391:    循环48元素：延时50
2024-12-09 20:02:20:391:    2024-12-09 20:02:20:391:    msleep: 50
2024-12-09 20:02:20:441:    2024-12-09 20:02:20:441:    循环48元素：上电
2024-12-09 20:02:20:442:    2024-12-09 20:02:20:441:    循环48元素：延时50
2024-12-09 20:02:20:442:    2024-12-09 20:02:20:441:    msleep: 50
2024-12-09 20:02:20:492:    2024-12-09 20:02:20:491:    循环49元素：断电
2024-12-09 20:02:20:492:    2024-12-09 20:02:20:491:    循环49元素：延时50
2024-12-09 20:02:20:492:    2024-12-09 20:02:20:491:    msleep: 50
2024-12-09 20:02:20:542:    2024-12-09 20:02:20:541:    循环49元素：上电
2024-12-09 20:02:20:542:    2024-12-09 20:02:20:541:    循环49元素：延时50
2024-12-09 20:02:20:543:    2024-12-09 20:02:20:542:    msleep: 50
2024-12-09 20:02:20:592:    2024-12-09 20:02:20:592:    循环50元素：断电
2024-12-09 20:02:20:593:    2024-12-09 20:02:20:592:    循环50元素：延时50
2024-12-09 20:02:20:593:    2024-12-09 20:02:20:592:    msleep: 50
2024-12-09 20:02:20:643:    2024-12-09 20:02:20:642:    循环50元素：上电
2024-12-09 20:02:20:643:    2024-12-09 20:02:20:642:    循环50元素：延时50
2024-12-09 20:02:20:643:    2024-12-09 20:02:20:642:    msleep: 50
2024-12-09 20:02:20:693:    2024-12-09 20:02:20:692:    msleep: 1000
2024-12-09 20:02:22:744:    2024-12-09 20:02:22:743:    msleep: 1000
结果正常

-----------一行结束------------------
