2024-12-09 20:01:38:681:    case:==========================供高电模式（3.6v），快速上下电==========================
2024-12-09 20:01:39:670:    2024-12-09 20:01:39:669:    循环8元素：延时50
2024-12-09 20:01:39:670:    2024-12-09 20:01:39:669:    msleep: 50
2024-12-09 20:01:39:720:    2024-12-09 20:01:39:719:    循环8元素：上电
2024-12-09 20:01:39:720:    2024-12-09 20:01:39:719:    循环8元素：延时50
2024-12-09 20:01:39:720:    2024-12-09 20:01:39:719:    msleep: 50
2024-12-09 20:01:39:770:    2024-12-09 20:01:39:769:    循环9元素：断电
2024-12-09 20:01:39:770:    2024-12-09 20:01:39:769:    循环9元素：延时50
2024-12-09 20:01:39:770:    2024-12-09 20:01:39:769:    msleep: 50
2024-12-09 20:01:39:820:    2024-12-09 20:01:39:819:    循环9元素：上电
2024-12-09 20:01:39:821:    2024-12-09 20:01:39:820:    循环9元素：延时50
2024-12-09 20:01:39:821:    2024-12-09 20:01:39:820:    msleep: 50
2024-12-09 20:01:39:870:    2024-12-09 20:01:39:870:    循环10元素：断电
2024-12-09 20:01:39:871:    2024-12-09 20:01:39:870:    循环10元素：延时50
2024-12-09 20:01:39:871:    2024-12-09 20:01:39:870:    msleep: 50
2024-12-09 20:01:39:921:    2024-12-09 20:01:39:920:    循环10元素：上电
2024-12-09 20:01:39:921:    2024-12-09 20:01:39:920:    循环10元素：延时50
2024-12-09 20:01:39:921:    2024-12-09 20:01:39:920:    msleep: 50
2024-12-09 20:01:39:971:    2024-12-09 20:01:39:970:    循环11元素：断电
2024-12-09 20:01:39:971:    2024-12-09 20:01:39:971:    循环11元素：延时50
2024-12-09 20:01:39:971:    2024-12-09 20:01:39:971:    msleep: 50
2024-12-09 20:01:40:021:    2024-12-09 20:01:40:021:    循环11元素：上电
2024-12-09 20:01:40:022:    2024-12-09 20:01:40:021:    循环11元素：延时50
2024-12-09 20:01:40:022:    2024-12-09 20:01:40:021:    msleep: 50
2024-12-09 20:01:40:072:    2024-12-09 20:01:40:071:    循环12元素：断电
2024-12-09 20:01:40:072:    2024-12-09 20:01:40:071:    循环12元素：延时50
2024-12-09 20:01:40:072:    2024-12-09 20:01:40:071:    msleep: 50
2024-12-09 20:01:40:122:    2024-12-09 20:01:40:121:    循环12元素：上电
2024-12-09 20:01:40:122:    2024-12-09 20:01:40:122:    循环12元素：延时50
2024-12-09 20:01:40:123:    2024-12-09 20:01:40:122:    msleep: 50
2024-12-09 20:01:40:172:    2024-12-09 20:01:40:172:    循环13元素：断电
2024-12-09 20:01:40:173:    2024-12-09 20:01:40:172:    循环13元素：延时50
2024-12-09 20:01:40:173:    2024-12-09 20:01:40:172:    msleep: 50
2024-12-09 20:01:40:223:    2024-12-09 20:01:40:222:    循环13元素：上电
2024-12-09 20:01:40:223:    2024-12-09 20:01:40:222:    循环13元素：延时50
2024-12-09 20:01:40:223:    2024-12-09 20:01:40:222:    msleep: 50
2024-12-09 20:01:40:273:    2024-12-09 20:01:40:272:    循环14元素：断电
2024-12-09 20:01:40:274:    2024-12-09 20:01:40:273:    循环14元素：延时50
2024-12-09 20:01:40:274:    2024-12-09 20:01:40:273:    msleep: 50
2024-12-09 20:01:40:323:    2024-12-09 20:01:40:323:    循环14元素：上电
2024-12-09 20:01:40:324:    2024-12-09 20:01:40:323:    循环14元素：延时50
2024-12-09 20:01:40:324:    2024-12-09 20:01:40:323:    msleep: 50
2024-12-09 20:01:40:374:    2024-12-09 20:01:40:373:    循环15元素：断电
2024-12-09 20:01:40:374:    2024-12-09 20:01:40:373:    循环15元素：延时50
2024-12-09 20:01:40:374:    2024-12-09 20:01:40:373:    msleep: 50
2024-12-09 20:01:40:424:    2024-12-09 20:01:40:423:    循环15元素：上电
2024-12-09 20:01:40:425:    2024-12-09 20:01:40:424:    循环15元素：延时50
2024-12-09 20:01:40:425:    2024-12-09 20:01:40:424:    msleep: 50
2024-12-09 20:01:40:475:    2024-12-09 20:01:40:474:    循环16元素：断电
2024-12-09 20:01:40:475:    2024-12-09 20:01:40:474:    循环16元素：延时50
2024-12-09 20:01:40:475:    2024-12-09 20:01:40:474:    msleep: 50
2024-12-09 20:01:40:525:    2024-12-09 20:01:40:524:    循环16元素：上电
2024-12-09 20:01:40:525:    2024-12-09 20:01:40:524:    循环16元素：延时50
2024-12-09 20:01:40:525:    2024-12-09 20:01:40:524:    msleep: 50
2024-12-09 20:01:40:575:    2024-12-09 20:01:40:575:    循环17元素：断电
2024-12-09 20:01:40:576:    2024-12-09 20:01:40:575:    循环17元素：延时50
2024-12-09 20:01:40:576:    2024-12-09 20:01:40:575:    msleep: 50
2024-12-09 20:01:40:626:    2024-12-09 20:01:40:625:    循环17元素：上电
2024-12-09 20:01:40:626:    2024-12-09 20:01:40:625:    循环17元素：延时50
2024-12-09 20:01:40:626:    2024-12-09 20:01:40:625:    msleep: 50
2024-12-09 20:01:40:676:    2024-12-09 20:01:40:675:    循环18元素：断电
2024-12-09 20:01:40:676:    2024-12-09 20:01:40:675:    循环18元素：延时50
2024-12-09 20:01:40:676:    2024-12-09 20:01:40:675:    msleep: 50
2024-12-09 20:01:40:726:    2024-12-09 20:01:40:726:    循环18元素：上电
2024-12-09 20:01:40:727:    2024-12-09 20:01:40:726:    循环18元素：延时50
2024-12-09 20:01:40:727:    2024-12-09 20:01:40:726:    msleep: 50
2024-12-09 20:01:40:777:    2024-12-09 20:01:40:776:    循环19元素：断电
2024-12-09 20:01:40:777:    2024-12-09 20:01:40:776:    循环19元素：延时50
2024-12-09 20:01:40:777:    2024-12-09 20:01:40:776:    msleep: 50
2024-12-09 20:01:40:827:    2024-12-09 20:01:40:826:    循环19元素：上电
2024-12-09 20:01:40:827:    2024-12-09 20:01:40:826:    循环19元素：延时50
2024-12-09 20:01:40:827:    2024-12-09 20:01:40:826:    msleep: 50
2024-12-09 20:01:40:877:    2024-12-09 20:01:40:877:    循环20元素：断电
2024-12-09 20:01:40:878:    2024-12-09 20:01:40:877:    循环20元素：延时50
2024-12-09 20:01:40:878:    2024-12-09 20:01:40:877:    msleep: 50
2024-12-09 20:01:40:928:    2024-12-09 20:01:40:927:    循环20元素：上电
2024-12-09 20:01:40:928:    2024-12-09 20:01:40:927:    循环20元素：延时50
2024-12-09 20:01:40:928:    2024-12-09 20:01:40:927:    msleep: 50
2024-12-09 20:01:40:978:    2024-12-09 20:01:40:977:    循环21元素：断电
2024-12-09 20:01:40:978:    2024-12-09 20:01:40:977:    循环21元素：延时50
2024-12-09 20:01:40:978:    2024-12-09 20:01:40:977:    msleep: 50
2024-12-09 20:01:41:028:    2024-12-09 20:01:41:028:    循环21元素：上电
2024-12-09 20:01:41:029:    2024-12-09 20:01:41:028:    循环21元素：延时50
2024-12-09 20:01:41:029:    2024-12-09 20:01:41:028:    msleep: 50
2024-12-09 20:01:41:079:    2024-12-09 20:01:41:078:    循环22元素：断电
2024-12-09 20:01:41:079:    2024-12-09 20:01:41:078:    循环22元素：延时50
2024-12-09 20:01:41:079:    2024-12-09 20:01:41:078:    msleep: 50
2024-12-09 20:01:41:129:    2024-12-09 20:01:41:128:    循环22元素：上电
2024-12-09 20:01:41:129:    2024-12-09 20:01:41:128:    循环22元素：延时50
2024-12-09 20:01:41:129:    2024-12-09 20:01:41:128:    msleep: 50
2024-12-09 20:01:41:179:    2024-12-09 20:01:41:179:    循环23元素：断电
2024-12-09 20:01:41:180:    2024-12-09 20:01:41:179:    循环23元素：延时50
2024-12-09 20:01:41:180:    2024-12-09 20:01:41:179:    msleep: 50
2024-12-09 20:01:41:229:    2024-12-09 20:01:41:229:    循环23元素：上电
2024-12-09 20:01:41:230:    2024-12-09 20:01:41:229:    循环23元素：延时50
2024-12-09 20:01:41:230:    2024-12-09 20:01:41:229:    msleep: 50
2024-12-09 20:01:41:280:    2024-12-09 20:01:41:279:    循环24元素：断电
2024-12-09 20:01:41:280:    2024-12-09 20:01:41:279:    循环24元素：延时50
2024-12-09 20:01:41:280:    2024-12-09 20:01:41:279:    msleep: 50
2024-12-09 20:01:41:330:    2024-12-09 20:01:41:329:    循环24元素：上电
2024-12-09 20:01:41:331:    2024-12-09 20:01:41:330:    循环24元素：延时50
2024-12-09 20:01:41:331:    2024-12-09 20:01:41:330:    msleep: 50
2024-12-09 20:01:41:380:    2024-12-09 20:01:41:380:    循环25元素：断电
2024-12-09 20:01:41:381:    2024-12-09 20:01:41:380:    循环25元素：延时50
2024-12-09 20:01:41:381:    2024-12-09 20:01:41:380:    msleep: 50
2024-12-09 20:01:41:431:    2024-12-09 20:01:41:430:    循环25元素：上电
2024-12-09 20:01:41:431:    2024-12-09 20:01:41:430:    循环25元素：延时50
2024-12-09 20:01:41:431:    2024-12-09 20:01:41:430:    msleep: 50
2024-12-09 20:01:41:481:    2024-12-09 20:01:41:480:    循环26元素：断电
2024-12-09 20:01:41:482:    2024-12-09 20:01:41:481:    循环26元素：延时50
2024-12-09 20:01:41:482:    2024-12-09 20:01:41:481:    msleep: 50
2024-12-09 20:01:41:531:    2024-12-09 20:01:41:531:    循环26元素：上电
2024-12-09 20:01:41:532:    2024-12-09 20:01:41:531:    循环26元素：延时50
2024-12-09 20:01:41:532:    2024-12-09 20:01:41:531:    msleep: 50
2024-12-09 20:01:41:582:    2024-12-09 20:01:41:581:    循环27元素：断电
2024-12-09 20:01:41:582:    2024-12-09 20:01:41:581:    循环27元素：延时50
2024-12-09 20:01:41:582:    2024-12-09 20:01:41:581:    msleep: 50
2024-12-09 20:01:41:632:    2024-12-09 20:01:41:631:    循环27元素：上电
2024-12-09 20:01:41:633:    2024-12-09 20:01:41:632:    循环27元素：延时50
2024-12-09 20:01:41:633:    2024-12-09 20:01:41:632:    msleep: 50
2024-12-09 20:01:41:683:    2024-12-09 20:01:41:682:    循环28元素：断电
2024-12-09 20:01:41:683:    2024-12-09 20:01:41:682:    循环28元素：延时50
2024-12-09 20:01:41:683:    2024-12-09 20:01:41:682:    msleep: 50
2024-12-09 20:01:41:733:    2024-12-09 20:01:41:732:    循环28元素：上电
2024-12-09 20:01:41:733:    2024-12-09 20:01:41:732:    循环28元素：延时50
2024-12-09 20:01:41:733:    2024-12-09 20:01:41:732:    msleep: 50
2024-12-09 20:01:41:783:    2024-12-09 20:01:41:782:    循环29元素：断电
2024-12-09 20:01:41:784:    2024-12-09 20:01:41:783:    循环29元素：延时50
2024-12-09 20:01:41:784:    2024-12-09 20:01:41:783:    msleep: 50
2024-12-09 20:01:41:833:    2024-12-09 20:01:41:833:    循环29元素：上电
2024-12-09 20:01:41:834:    2024-12-09 20:01:41:833:    循环29元素：延时50
2024-12-09 20:01:41:834:    2024-12-09 20:01:41:833:    msleep: 50
2024-12-09 20:01:41:884:    2024-12-09 20:01:41:883:    循环30元素：断电
2024-12-09 20:01:41:884:    2024-12-09 20:01:41:883:    循环30元素：延时50
2024-12-09 20:01:41:884:    2024-12-09 20:01:41:883:    msleep: 50
2024-12-09 20:01:41:934:    2024-12-09 20:01:41:933:    循环30元素：上电
2024-12-09 20:01:41:935:    2024-12-09 20:01:41:934:    循环30元素：延时50
2024-12-09 20:01:41:935:    2024-12-09 20:01:41:934:    msleep: 50
2024-12-09 20:01:41:984:    2024-12-09 20:01:41:984:    循环31元素：断电
2024-12-09 20:01:41:985:    2024-12-09 20:01:41:984:    循环31元素：延时50
2024-12-09 20:01:41:985:    2024-12-09 20:01:41:984:    msleep: 50
2024-12-09 20:01:42:035:    2024-12-09 20:01:42:034:    循环31元素：上电
2024-12-09 20:01:42:035:    2024-12-09 20:01:42:034:    循环31元素：延时50
2024-12-09 20:01:42:035:    2024-12-09 20:01:42:034:    msleep: 50
2024-12-09 20:01:42:085:    2024-12-09 20:01:42:084:    循环32元素：断电
2024-12-09 20:01:42:085:    2024-12-09 20:01:42:085:    循环32元素：延时50
2024-12-09 20:01:42:086:    2024-12-09 20:01:42:085:    msleep: 50
2024-12-09 20:01:42:135:    2024-12-09 20:01:42:135:    循环32元素：上电
2024-12-09 20:01:42:136:    2024-12-09 20:01:42:135:    循环32元素：延时50
2024-12-09 20:01:42:136:    2024-12-09 20:01:42:135:    msleep: 50
2024-12-09 20:01:42:186:    2024-12-09 20:01:42:185:    循环33元素：断电
2024-12-09 20:01:42:186:    2024-12-09 20:01:42:185:    循环33元素：延时50
2024-12-09 20:01:42:186:    2024-12-09 20:01:42:185:    msleep: 50
2024-12-09 20:01:42:236:    2024-12-09 20:01:42:235:    循环33元素：上电
2024-12-09 20:01:42:237:    2024-12-09 20:01:42:236:    循环33元素：延时50
2024-12-09 20:01:42:237:    2024-12-09 20:01:42:236:    msleep: 50
2024-12-09 20:01:42:286:    2024-12-09 20:01:42:286:    循环34元素：断电
2024-12-09 20:01:42:287:    2024-12-09 20:01:42:286:    循环34元素：延时50
2024-12-09 20:01:42:287:    2024-12-09 20:01:42:286:    msleep: 50
2024-12-09 20:01:42:337:    2024-12-09 20:01:42:336:    循环34元素：上电
2024-12-09 20:01:42:337:    2024-12-09 20:01:42:336:    循环34元素：延时50
2024-12-09 20:01:42:337:    2024-12-09 20:01:42:336:    msleep: 50
2024-12-09 20:01:42:387:    2024-12-09 20:01:42:386:    循环35元素：断电
2024-12-09 20:01:42:388:    2024-12-09 20:01:42:387:    循环35元素：延时50
2024-12-09 20:01:42:388:    2024-12-09 20:01:42:387:    msleep: 50
2024-12-09 20:01:42:437:    2024-12-09 20:01:42:437:    循环35元素：上电
2024-12-09 20:01:42:438:    2024-12-09 20:01:42:437:    循环35元素：延时50
2024-12-09 20:01:42:438:    2024-12-09 20:01:42:437:    msleep: 50
2024-12-09 20:01:42:488:    2024-12-09 20:01:42:487:    循环36元素：断电
2024-12-09 20:01:42:488:    2024-12-09 20:01:42:487:    循环36元素：延时50
2024-12-09 20:01:42:488:    2024-12-09 20:01:42:487:    msleep: 50
2024-12-09 20:01:42:538:    2024-12-09 20:01:42:537:    循环36元素：上电
2024-12-09 20:01:42:539:    2024-12-09 20:01:42:538:    循环36元素：延时50
2024-12-09 20:01:42:539:    2024-12-09 20:01:42:538:    msleep: 50
2024-12-09 20:01:42:588:    2024-12-09 20:01:42:588:    循环37元素：断电
2024-12-09 20:01:42:589:    2024-12-09 20:01:42:588:    循环37元素：延时50
2024-12-09 20:01:42:589:    2024-12-09 20:01:42:588:    msleep: 50
2024-12-09 20:01:42:639:    2024-12-09 20:01:42:638:    循环37元素：上电
2024-12-09 20:01:42:639:    2024-12-09 20:01:42:638:    循环37元素：延时50
2024-12-09 20:01:42:639:    2024-12-09 20:01:42:638:    msleep: 50
2024-12-09 20:01:42:689:    2024-12-09 20:01:42:688:    循环38元素：断电
2024-12-09 20:01:42:690:    2024-12-09 20:01:42:689:    循环38元素：延时50
2024-12-09 20:01:42:690:    2024-12-09 20:01:42:689:    msleep: 50
2024-12-09 20:01:42:739:    2024-12-09 20:01:42:739:    循环38元素：上电
2024-12-09 20:01:42:740:    2024-12-09 20:01:42:739:    循环38元素：延时50
2024-12-09 20:01:42:740:    2024-12-09 20:01:42:739:    msleep: 50
2024-12-09 20:01:42:790:    2024-12-09 20:01:42:789:    循环39元素：断电
2024-12-09 20:01:42:790:    2024-12-09 20:01:42:789:    循环39元素：延时50
2024-12-09 20:01:42:790:    2024-12-09 20:01:42:789:    msleep: 50
2024-12-09 20:01:42:840:    2024-12-09 20:01:42:839:    循环39元素：上电
2024-12-09 20:01:42:840:    2024-12-09 20:01:42:839:    循环39元素：延时50
2024-12-09 20:01:42:840:    2024-12-09 20:01:42:839:    msleep: 50
2024-12-09 20:01:42:890:    2024-12-09 20:01:42:890:    循环40元素：断电
2024-12-09 20:01:42:891:    2024-12-09 20:01:42:890:    循环40元素：延时50
2024-12-09 20:01:42:891:    2024-12-09 20:01:42:890:    msleep: 50
2024-12-09 20:01:42:941:    2024-12-09 20:01:42:940:    循环40元素：上电
2024-12-09 20:01:42:941:    2024-12-09 20:01:42:940:    循环40元素：延时50
2024-12-09 20:01:42:941:    2024-12-09 20:01:42:940:    msleep: 50
2024-12-09 20:01:42:991:    2024-12-09 20:01:42:990:    循环41元素：断电
2024-12-09 20:01:42:991:    2024-12-09 20:01:42:990:    循环41元素：延时50
2024-12-09 20:01:42:991:    2024-12-09 20:01:42:990:    msleep: 50
2024-12-09 20:01:43:041:    2024-12-09 20:01:43:041:    循环41元素：上电
2024-12-09 20:01:43:042:    2024-12-09 20:01:43:041:    循环41元素：延时50
2024-12-09 20:01:43:042:    2024-12-09 20:01:43:041:    msleep: 50
2024-12-09 20:01:43:092:    2024-12-09 20:01:43:091:    循环42元素：断电
2024-12-09 20:01:43:092:    2024-12-09 20:01:43:091:    循环42元素：延时50
2024-12-09 20:01:43:092:    2024-12-09 20:01:43:091:    msleep: 50
2024-12-09 20:01:43:142:    2024-12-09 20:01:43:141:    循环42元素：上电
2024-12-09 20:01:43:142:    2024-12-09 20:01:43:141:    循环42元素：延时50
2024-12-09 20:01:43:142:    2024-12-09 20:01:43:141:    msleep: 50
2024-12-09 20:01:43:192:    2024-12-09 20:01:43:192:    循环43元素：断电
2024-12-09 20:01:43:193:    2024-12-09 20:01:43:192:    循环43元素：延时50
2024-12-09 20:01:43:193:    2024-12-09 20:01:43:192:    msleep: 50
2024-12-09 20:01:43:243:    2024-12-09 20:01:43:242:    循环43元素：上电
2024-12-09 20:01:43:243:    2024-12-09 20:01:43:242:    循环43元素：延时50
2024-12-09 20:01:43:243:    2024-12-09 20:01:43:242:    msleep: 50
2024-12-09 20:01:43:293:    2024-12-09 20:01:43:292:    循环44元素：断电
2024-12-09 20:01:43:293:    2024-12-09 20:01:43:292:    循环44元素：延时50
2024-12-09 20:01:43:293:    2024-12-09 20:01:43:292:    msleep: 50
2024-12-09 20:01:43:343:    2024-12-09 20:01:43:343:    循环44元素：上电
2024-12-09 20:01:43:344:    2024-12-09 20:01:43:343:    循环44元素：延时50
2024-12-09 20:01:43:344:    2024-12-09 20:01:43:343:    msleep: 50
2024-12-09 20:01:43:394:    2024-12-09 20:01:43:393:    循环45元素：断电
2024-12-09 20:01:43:394:    2024-12-09 20:01:43:393:    循环45元素：延时50
2024-12-09 20:01:43:394:    2024-12-09 20:01:43:393:    msleep: 50
2024-12-09 20:01:43:444:    2024-12-09 20:01:43:443:    循环45元素：上电
2024-12-09 20:01:43:444:    2024-12-09 20:01:43:443:    循环45元素：延时50
2024-12-09 20:01:43:444:    2024-12-09 20:01:43:443:    msleep: 50
2024-12-09 20:01:43:494:    2024-12-09 20:01:43:494:    循环46元素：断电
2024-12-09 20:01:43:495:    2024-12-09 20:01:43:494:    循环46元素：延时50
2024-12-09 20:01:43:495:    2024-12-09 20:01:43:494:    msleep: 50
2024-12-09 20:01:43:545:    2024-12-09 20:01:43:544:    循环46元素：上电
2024-12-09 20:01:43:545:    2024-12-09 20:01:43:544:    循环46元素：延时50
2024-12-09 20:01:43:545:    2024-12-09 20:01:43:544:    msleep: 50
2024-12-09 20:01:43:595:    2024-12-09 20:01:43:594:    循环47元素：断电
2024-12-09 20:01:43:595:    2024-12-09 20:01:43:594:    循环47元素：延时50
2024-12-09 20:01:43:595:    2024-12-09 20:01:43:594:    msleep: 50
2024-12-09 20:01:43:645:    2024-12-09 20:01:43:645:    循环47元素：上电
2024-12-09 20:01:43:646:    2024-12-09 20:01:43:645:    循环47元素：延时50
2024-12-09 20:01:43:646:    2024-12-09 20:01:43:645:    msleep: 50
2024-12-09 20:01:43:696:    2024-12-09 20:01:43:695:    循环48元素：断电
2024-12-09 20:01:43:696:    2024-12-09 20:01:43:695:    循环48元素：延时50
2024-12-09 20:01:43:696:    2024-12-09 20:01:43:695:    msleep: 50
2024-12-09 20:01:43:746:    2024-12-09 20:01:43:745:    循环48元素：上电
2024-12-09 20:01:43:746:    2024-12-09 20:01:43:745:    循环48元素：延时50
2024-12-09 20:01:43:746:    2024-12-09 20:01:43:745:    msleep: 50
2024-12-09 20:01:43:796:    2024-12-09 20:01:43:796:    循环49元素：断电
2024-12-09 20:01:43:797:    2024-12-09 20:01:43:796:    循环49元素：延时50
2024-12-09 20:01:43:797:    2024-12-09 20:01:43:796:    msleep: 50
2024-12-09 20:01:43:847:    2024-12-09 20:01:43:846:    循环49元素：上电
2024-12-09 20:01:43:847:    2024-12-09 20:01:43:846:    循环49元素：延时50
2024-12-09 20:01:43:847:    2024-12-09 20:01:43:846:    msleep: 50
2024-12-09 20:01:43:897:    2024-12-09 20:01:43:896:    循环50元素：断电
2024-12-09 20:01:43:897:    2024-12-09 20:01:43:896:    循环50元素：延时50
2024-12-09 20:01:43:897:    2024-12-09 20:01:43:896:    msleep: 50
2024-12-09 20:01:43:947:    2024-12-09 20:01:43:947:    循环50元素：上电
2024-12-09 20:01:43:948:    2024-12-09 20:01:43:947:    循环50元素：延时50
2024-12-09 20:01:43:948:    2024-12-09 20:01:43:947:    msleep: 50
2024-12-09 20:01:43:998:    2024-12-09 20:01:43:997:    msleep: 1000
2024-12-09 20:01:46:048:    2024-12-09 20:01:46:048:    msleep: 1000
结果正常

-----------一行结束------------------
